City,count,Population
LONDON,942,8961989.000
GLASGOW,283,591620.000
BIRMINGHAM,187,984333.000
LIVERPOOL,181,864122.000
MANCHESTER,173,395515.000
NOTTINGHAM,104,321500.000
LEEDS,89,455123.000
SHEFFIELD,82,685368.000
GREAT YARMOUTH,80,63434.000
BRISTOL,77,617280.000
LEICESTER,77,508916.000
EDINBURGH,72,464990.000
SKEGNESS,65,21128.000
SOUTHAMPTON,60,246201.000
CARDIFF,59,447287.000
BLACKPOOL,59,239409.000
HULL,58,261149.000
NEWCASTLE,55,192382.000
DONCASTER,55,158141.000
STOKE-ON-TRENT,54,372775.000
